Ingrédient;Rayon;Base;kcal;Protéines (g);Glucides (g);Lipides (g);Conditionnement;Prix indicatif (€);Basique du placard;Source;Aliment Ciqual correspondant
Ail;Fruits et légumes;pour 100 g;100;5,31;18,6;0,5;100 g;1,20;;Ciqual 2025, code 11000;Ail, cru
Ananas;Fruits et légumes;pour 100 g;52;0,25;11,7;0,5;1000 g;2,50;;Ciqual 2025, code 13002;Ananas, chair sans peau, cru
Aubergine;Fruits et légumes;pour 100 g;16;0,98;2,7;0,18;350 g;1,30;;Ciqual 2025, code 20053;Aubergine, crue
Avocat;Fruits et légumes;pour 100 g;192;1,56;0;20,6;150 g;1,20;;Ciqual 2025, code 13004;Avocat, chair sans peau, sans noyau, cru
Banane;Fruits et légumes;par pièce;105;1,27;23,64;0,6;1 pièces;0,30;;Ciqual 2025, code 13005, pièce de 120 g;Banane, chair sans peau, crue
Betterave cuite;Fruits et légumes;pour 100 g;38;1,44;7,13;0,4;500 g;1,60;;Ciqual 2025, code 20003;Betterave rouge, cuite
Brocolis;Fruits et légumes;pour 100 g;23;2,9;2,15;0,36;500 g;2,20;;Ciqual 2025, code 20057;Brocoli, cru
Carottes;Fruits et légumes;pour 100 g;28;0,78;5,16;0,5;1000 g;1,50;;Ciqual 2025, code 20009;Carotte, crue
Champignons de Paris;Fruits et légumes;pour 100 g;19;2,11;1,83;0,36;500 g;2,40;;Ciqual 2025, code 20056;Champignon de Paris ou champignon de couche, cru
Chou-fleur;Fruits et légumes;pour 100 g;22;1,81;2,13;0,7;1000 g;2,50;;Ciqual 2025, code 20016;Chou-fleur, cru
Citron;Fruits et légumes;par pièce;12;0,25;1,56;0,5;1 pièces;0,45;;Ciqual 2025, code 13009, pièce de 100 g;Citron, chair sans peau, sans pépins, cru
Citron vert;Fruits et légumes;par pièce;10;0,56;1,57;0,15;1 pièces;0,40;;Ciqual 2025, code 13067, pièce de 50 g;Citron vert ou lime, chair sans peau, sans pépins, cru
Clémentine;Fruits et légumes;par pièce;24;0,45;5,04;0,28;1 pièces;0,25;;Ciqual 2025, code 13024, pièce de 55 g;Clémentine ou mandarine, chair sans peau, sans pépins, crue
Concombre;Fruits et légumes;pour 100 g;15;0,65;2,87;0,11;400 g;0,90;;Ciqual 2025, code 20019;Concombre, chair et peau, cru
Courge butternut;Fruits et légumes;pour 100 g;26;1,0;5,4;0,1;1200 g;2,40;;Ciqual 2025, code 20138;Courge butternut (doubeurre), chair sans peau, crue
Courgette;Fruits et légumes;pour 100 g;15;1,21;1,75;0,32;300 g;1,10;;Ciqual 2025, code 20020;Courgette, chair et peau, crue
Fraises;Fruits et légumes;pour 100 g;31;0,63;6,03;0,5;250 g;2,90;;Ciqual 2025, code 13014;Fraise, crue
Kiwi;Fruits et légumes;par pièce;37;0,62;7,7;0,42;1 pièces;0,35;;Ciqual 2025, code 13021, pièce de 70 g;Kiwi, chair sans peau, avec pépins, cru
Laitue;Fruits et légumes;pour 100 g;12;1,35;1,22;0,2;300 g;1,20;;Ciqual 2025, code 20031;Laitue, crue
Mangue;Fruits et légumes;pour 100 g;64;0,63;14,3;0,5;400 g;1,90;;Ciqual 2025, code 13025;Mangue, chair sans peau, sans noyau, crue
Myrtilles;Fruits et légumes;pour 100 g;49;0,87;10,6;0,33;125 g;2,50;;Ciqual 2025, code 13028;Myrtille, crue
Oignon;Fruits et légumes;par pièce;35;1,1;6,25;0,62;1 pièces;0,35;;Ciqual 2025, code 20034, pièce de 100 g;Oignon, cru
Orange;Fruits et légumes;par pièce;52;0,98;10,44;0,65;1 pièces;0,45;;Ciqual 2025, code 13034, pièce de 130 g;Orange, chair sans peau, sans pépins, crue
Patate douce;Fruits et légumes;pour 100 g;75;1,57;17,1;0,05;1000 g;2,80;;Ciqual 2025, code 4101;Patate douce, crue
Persil frais;Fruits et légumes;pour 100 g;34;2,97;4,1;0,63;30 g;0,90;;Ciqual 2025, code 11014;Persil, frais
Poire;Fruits et légumes;par pièce;74;0,5;17,22;0,38;1 pièces;0,50;;Ciqual 2025, code 13037, pièce de 140 g;Poire, chair et peau, crue
Poireau;Fruits et légumes;pour 100 g;27;1,5;4,55;0,3;1000 g;2,20;;Ciqual 2025, code 20039;Poireau, cru
Poivron rouge;Fruits et légumes;pour 100 g;33;1,06;5,98;0,5;250 g;1,20;;Ciqual 2025, code 20087;Poivron rouge, cru
Pomme;Fruits et légumes;par pièce;70;0,35;16,24;0,35;1 pièces;0,40;;Ciqual 2025, code 13039, pièce de 140 g;Pomme, chair et peau, crue
Pommes de terre grenailles;Fruits et légumes;pour 100 g;74;2,02;16,2;0,09;1000 g;2,60;;Ciqual 2025, code 4008;Pomme de terre, sans peau, crue
Raisin;Fruits et légumes;pour 100 g;67;0,57;15,6;0,25;500 g;2,90;;Ciqual 2025, code 13045;Raisin noir, cru
Tomate;Fruits et légumes;pour 100 g;20;0,5;3,42;0,5;1000 g;2,80;;Ciqual 2025, code 20276;Tomate ronde, crue
Tomates cerises;Fruits et légumes;pour 100 g;32;1,31;5,62;0,5;250 g;2,20;;Ciqual 2025, code 20172;Tomate cerise, crue
Échalote;Fruits et légumes;pour 100 g;61;1,81;12,2;0,5;250 g;1,80;;Ciqual 2025, code 20097;Échalote, crue
Épinards frais;Fruits et légumes;pour 100 g;26;2,68;3,06;0,39;300 g;2,50;;Ciqual 2025, code 20059;Épinard, cru
Blanc de dinde en tranches;Boucherie et poissonnerie;pour 100 g;99;20,9;0,02;1,67;120 g;2,20;;Ciqual 2025, code 28964;Jambon de dinde ou blanc de dinde en tranche
Blanc de poulet;Boucherie et poissonnerie;pour 100 g;107;23,4;0;1,5;500 g;7,50;;Ciqual 2025, code 36017;Poulet, filet sans peau cru
Bœuf haché 15 %;Boucherie et poissonnerie;pour 100 g;216;20,2;0,47;14,8;500 g;5,50;;Ciqual 2025, code 6254;Boeuf, steak haché 15% MG cru
